BUTIKKLOKALE_ID;KUNDENUMMER;KUNDENAVN;LEVERING_DT_TD;STOPPTID_LAGER;RUTE_ID;LEVERANSE_ID
3 135;355 826;Bunnpris Vestlia;11.07.2019 12:15:00;11.06.2019 10:00:00;4203;104626
3 135;355 826;Bunnpris Vestlia;11.08.2019 12:30:00;11.07.2019 13:00:00;5235;104638
1 121;254 912;Bunnpris Vikåsen;11.04.2019 15:30:00;11.01.2019 13:00:00;1402;104463
1 121;254 912;Bunnpris Vikåsen;11.05.2019 13:00:00;11.04.2019 10:00:00;2208;104488
1 121;254 912;Bunnpris Vikåsen;11.07.2019 15:30:00;11.06.2019 13:00:00;4401;104541
1 121;254 912;Bunnpris Vikåsen;11.08.2019 15:15:00;11.07.2019 13:00:00;5431;104583
849;467 951;Bunnpris Vormstad;11.04.2019 11:00:00;11.01.2019 09:00:00;1119;104464
849;467 951;Bunnpris Vormstad;11.07.2019 10:00:00;11.05.2019 21:00:00;4135;104542
849;467 951;Bunnpris Vormstad;11.08.2019 10:15:00;11.06.2019 21:00:00;5109;104584
36;248 849;Bunnpris Angelltrøa;11.04.2019 15:00:00;11.01.2019 13:00:00;1402;104431
36;248 849;Bunnpris Angelltrøa;11.06.2019 09:30:00;11.04.2019 21:00:00;3125;105573
36;248 849;Bunnpris Angelltrøa;11.07.2019 17:45:00;11.06.2019 13:00:00;4531;105206
36;248 849;Bunnpris Angelltrøa;11.08.2019 15:30:00;11.07.2019 13:00:00;5425;104546
18 784;498 295;Bunnpris Aspmyra;11.05.2019 13:45:00;11.01.2019 10:00:00;1992;104617
18 784;498 295;Bunnpris Aspmyra;11.07.2019 13:45:00;11.05.2019 09:00:00;3992;104627
1 056;364 190;Bunnpris Båsmoen;11.04.2019 04:00:00;10.31.2019 21:00:00;6190;104435
1 056;364 190;Bunnpris Båsmoen;11.06.2019 04:00:00;11.04.2019 10:00:00;2190;104495
1 056;364 190;Bunnpris Båsmoen;11.08.2019 04:00:00;11.06.2019 10:00:00;4190;104551
898;252 544;Bunnpris Flatåsen;11.04.2019 18:00:00;11.01.2019 13:00:00;1501;104437
898;252 544;Bunnpris Flatåsen;11.06.2019 08:30:00;11.04.2019 21:00:00;3114;104496
898;252 544;Bunnpris Flatåsen;11.07.2019 19:00:00;11.06.2019 13:00:00;4501;281824
898;252 544;Bunnpris Flatåsen;11.08.2019 18:30:00;11.07.2019 13:00:00;5501;104554
4 847;676 544;Bunnpris Gruben;11.04.2019 10:45:00;10.31.2019 21:00:00;6190;104438
4 847;676 544;Bunnpris Gruben;11.06.2019 10:45:00;11.04.2019 10:00:00;2190;109299
4 847;676 544;Bunnpris Gruben;11.08.2019 10:45:00;11.06.2019 10:00:00;4190;104555
4 284;500 876;Bunnpris Grønnåsen;11.04.2019 12:30:00;10.31.2019 21:00:00;6992;104915
4 284;500 876;Bunnpris Grønnåsen;11.06.2019 12:30:00;11.04.2019 09:00:00;2992;104916
4 284;500 876;Bunnpris Grønnåsen;11.08.2019 11:00:00;11.06.2019 09:00:00;4992;104917
1 146;254 177;Bunnpris Heimdal;11.05.2019 13:00:00;11.04.2019 10:00:00;2236;104473
1 146;254 177;Bunnpris Heimdal;11.07.2019 08:30:00;11.05.2019 21:00:00;4131;104522
1 146;254 177;Bunnpris Heimdal;11.08.2019 18:30:00;11.07.2019 13:00:00;5525;104557
52;896 563;Bunnpris Klæbu ;11.04.2019 18:15:00;11.01.2019 13:00:00;1501;104442
52;896 563;Bunnpris Klæbu ;11.06.2019 10:45:00;11.04.2019 21:00:00;3111;104500
52;896 563;Bunnpris Klæbu ;11.08.2019 17:00:00;11.07.2019 13:00:00;5502;104561
18 789;438 044;Bunnpris Levangernesset;11.05.2019 09:00:00;11.03.2019 21:00:00;2132;104613
18 789;438 044;Bunnpris Levangernesset;11.06.2019 16:00:00;11.05.2019 13:00:00;3425;104622
18 789;438 044;Bunnpris Levangernesset;11.08.2019 08:30:00;11.06.2019 21:00:00;5103;104635
260;248 864;Bunnpris Moholt;11.04.2019 12:30:00;11.01.2019 13:00:00;1204;104448
260;248 864;Bunnpris Moholt;11.06.2019 08:30:00;11.04.2019 21:00:00;3137;234372
260;248 864;Bunnpris Moholt;11.08.2019 15:00:00;11.07.2019 13:00:00;5431;104566
5 077;981 522;Bunnpris Mosjøen;11.04.2019 10:45:00;10.31.2019 21:00:00;6299;104449
5 077;981 522;Bunnpris Mosjøen;11.06.2019 10:45:00;11.04.2019 10:00:00;2399;104506
5 077;981 522;Bunnpris Mosjøen;11.08.2019 09:30:00;11.06.2019 10:00:00;4999;104567
2 015;492 017;Bunnpris Samfundet;11.04.2019 11:30:00;11.01.2019 10:00:00;1202;104456
